time,temp,arm_freq
0,40.4,1400308608
5,40.4,1400361344
10,40.4,1300324224
15,39.4,1400361344
20,40.4,1500345728
25,39.9,1400361344
30,40.4,1200287104
35,40.4,1200339840
40,38.9,1400308608
45,39.9,1300324224
50,38.4,1500345728
55,38.9,1200287104
60,38.9,1500398464
66,38.4,1200287104
71,38.9,1500398464
76,38.4,1300324224
81,39.4,1300324224
86,37.4,1400361344
91,37.4,1500398464
96,37.4,1400361344
101,39.4,1800457088
106,38.9,1200287104
111,39.4,1700367232
116,37.9,1500345728
121,37.4,1300324224
126,37.9,1500398464
131,38.9,1500345728
136,38.4,1500345728
141,37.9,1500398464
146,38.4,1400361344
151,39.4,1500398464
156,38.4,1500398464
161,39.4,1800457088
166,38.9,1300324224
171,39.9,1800404352
176,38.4,1300324224
182,39.9,1800457088
187,38.4,1200287104
192,37.9,1300324224
197,38.4,1500398464
202,37.9,1400361344
207,37.9,1300324224
212,37.4,1300324224
217,37.4,1200287104
222,37.9,1400361344
227,43.8,1800457088
232,45.2,1800457088
237,46.2,1800457088
242,46.2,1800457088
247,46.2,1800457088
252,46.2,1800404352
257,47.2,1800457088
262,47.2,1800457088
268,47.7,1800457088
273,47.2,1800404352
278,47.7,1800457088
283,47.2,1800457088
288,48.7,1800457088
293,48.7,1800404352
298,48.2,1800457088
303,49.1,1800457088
308,49.6,1800404352
313,47.7,1800457088
318,49.1,1800457088
323,48.7,1800457088
328,49.1,1800457088
334,49.1,1800404352
339,49.6,1800457088
344,49.6,1800457088
349,49.1,1800457088
354,49.6,1800457088
359,49.6,1800457088
364,48.7,1800457088
369,49.1,1800404352
374,50.1,1800457088
379,49.6,1800457088
384,49.1,1800457088
389,50.6,1800457088
394,49.1,1800457088
400,49.1,1800457088
405,50.1,1800457088
410,50.1,1800457088
415,50.1,1800404352
420,50.6,1800404352
425,50.1,1800404352
430,49.6,1800457088
435,50.6,1800404352
440,50.6,1800404352
445,50.6,1800457088
450,51.1,1800457088
455,50.1,1800457088
461,50.1,1800404352
466,51.6,1800457088
471,50.1,1800457088
476,51.6,1800404352
481,50.6,1800457088
486,50.1,1800457088
491,51.1,1800404352
496,50.6,1800457088
501,52.1,1800404352
506,51.1,1800457088
511,50.1,1800457088
516,51.6,1800457088
521,52.1,1800457088
526,52.1,1800404352
532,51.6,1800457088
537,53.0,1800404352
542,52.1,1800457088
547,52.1,1800457088
552,51.1,1800404352
557,51.1,1800457088
562,52.1,1800404352
567,52.5,1800457088
572,52.1,1800457088
577,52.1,1800404352
582,52.1,1800404352
587,52.1,1800457088
593,52.5,1800404352
598,53.5,1800457088
603,52.5,1800404352
608,52.5,1800457088
613,52.5,1800404352
618,53.0,1800404352
623,52.1,1800457088
628,53.0,1800404352
633,53.0,1800457088
638,52.1,1800457088
643,51.6,1800457088
648,51.6,1800404352
653,51.6,1800457088
659,52.1,1800457088
664,52.5,1800457088
669,52.5,1800404352
674,53.0,1800404352
679,52.5,1800457088
684,53.0,1800404352
689,53.5,1800457088
694,52.5,1800457088
699,52.5,1800457088
704,53.0,1800457088
709,53.0,1800457088
714,53.5,1800457088
719,52.5,1800457088
